,QQQ_Price_Close,QQQ_Volume,SPY_Price_Close,SPY_Volume,US10_Mid_Price,US10_Mid_Yld,US30_Mid_Price,US30_Mid_Yld,GLD_Price_Close,GLD_Volume,IWM_Price_Close,IWM_Volume,VIX
2017-07-17,142.11535025,25343155.0,245.53,33531917.0,100.5390625,2.3132,101.96875,2.9008,117.29,5170849.0,142.06,15374599.0,9.82
2017-07-18,143.0648515,25748527.0,245.66,42742498.0,101.015625,2.25895,103.03125,2.84835,118.11,7158573.0,141.69,16653259.0,9.89
2017-07-19,143.9044105,33752309.0,246.99,51034260.0,100.9140625,2.27045,102.9921875,2.85025,118.08,3205142.0,143.1,16985452.0,9.79
2017-07-20,144.09431075,36139449.0,247.1,47135183.0,101.0390625,2.25625,103.5390625,2.8235,118.24,5571648.0,143.2,17047795.0,9.58
2017-07-21,144.03434225,39697094.0,246.88,88711019.0,101.2109375,2.23665,103.859375,2.8079,119.26,10135919.0,142.55,21949464.0,9.36
2017-07-24,144.69399575,26712732.0,246.82,46622256.0,101.0390625,2.2561,103.3046875,2.8349,119.31,3654331.0,142.75,16694031.0,9.43
2017-07-25,144.32419,28120884.0,247.42,54915591.0,100.3828125,2.3309,101.7265625,2.9128,118.92,6202988.0,144.05,21066388.0,9.43
2017-07-26,144.79394325,18610634.0,247.43,47575422.0,100.7265625,2.2916,102.078125,2.8953,119.88,8527944.0,143.25,13574876.0,9.6
2017-07-27,143.884421,80665866.0,247.2,70766568.0,100.4921875,2.3184,101.3515625,2.9315,119.79,6385216.0,142.34,24355819.0,10.11
2017-07-28,143.764484,38013176.0,246.91,50088359.0,100.7421875,2.28975,102.1015625,2.8941,120.69,7393606.0,141.96,19933344.0,10.29
2017-07-31,143.15480425,33848645.0,246.77,65838659.0,100.6953125,2.2951,101.9609375,2.9011,120.75,3944561.0,141.51,16417720.0,10.26
2017-08-01,143.484631,20149421.0,247.32,55050401.0,101.0703125,2.2523,102.8984375,2.85475,120.65,7365056.0,141.78,19835907.0,10.09
2017-08-02,143.87442625,41769667.0,247.44,47211216.0,100.9140625,2.2701,102.9140625,2.85395,120.4,5945279.0,140.23,19934286.0,10.28
2017-08-03,143.31472025,27112799.0,246.96,40855997.0,101.3671875,2.2185,104.1484375,2.79375,120.59,4275576.0,139.53,19624901.0,10.44
2017-08-04,143.57458375,29472909.0,247.41,60191838.0,100.9765625,2.26285,103.1640625,2.84165,119.65,8644781.0,140.21,16473509.0,10.03
2017-08-07,144.484106,17933942.0,247.87,31995021.0,101.0390625,2.2557,103.2734375,2.8363,119.51,3010138.0,140.44,9176166.0,9.93
2017-08-08,144.23423725,30810364.0,247.26,61719353.0,100.9921875,2.261,103.1328125,2.8432,119.86,7227220.0,140.0,27248712.0,10.96
2017-08-09,144.044337,36169473.0,247.25,62632619.0,101.1015625,2.2485,103.5078125,2.8248,121.31,9186236.0,138.79,26534308.0,11.11
2017-08-10,140.95595925,63331663.0,243.76,120479470.0,100.453125,2.19925,104.5234375,2.77555,122.21,9817872.0,136.27,40983533.0,16.04
2017-08-11,142.0253975,45862488.0,244.12,74869947.0,100.5390625,2.18965,99.2578125,2.7867,122.79,8019519.0,136.47,32779614.0,15.51
2017-08-14,143.85443675,34161024.0,246.54,73291919.0,100.2421875,2.22285,98.7421875,2.81235,121.92,6035297.0,138.54,21710931.0,12.33
2017-08-15,143.95438425,25509181.0,246.51,55242746.0,99.8046875,2.27195,98.0546875,2.8469,120.98,6731340.0,137.4,16645977.0,12.04
2017-08-16,144.204253,31913002.0,246.94,56715544.0,100.2265625,2.2246,98.8515625,2.8069,121.87,8267341.0,137.44,21858645.0,11.74
2017-08-17,141.25580175,70190975.0,243.09,128490396.0,100.5859375,2.1844,99.546875,2.77235,122.49,8183805.0,134.93,32722877.0,15.55
2017-08-18,141.15585425,60751940.0,242.71,136747986.0,100.4765625,2.19655,99.4296875,2.77815,122.3,13654226.0,134.92,42401868.0,14.26
2017-08-21,140.97594875,37111487.0,242.9,65469736.0,100.6015625,2.18255,99.7109375,2.7642,122.76,5549687.0,134.83,21504100.0,13.19
2017-08-22,143.12482,36294232.0,245.44,63140101.0,100.3046875,2.21575,99.234375,2.78785,122.21,6493937.0,136.29,25170593.0,11.35
2017-08-23,142.61508775,25702324.0,244.56,50203837.0,100.7265625,2.16855,100.0703125,2.7465,122.67,5038391.0,136.07,18381856.0,12.25
2017-08-24,142.19530825,38160803.0,243.99,50741671.0,100.4921875,2.19475,99.6171875,2.76885,122.29,4193396.0,136.49,15726649.0,12.23
2017-08-25,141.89546575,26380436.0,244.56,64445912.0,100.7265625,2.1685,100.0234375,2.7488,122.74,12398247.0,136.88,17162964.0,11.28
2017-08-28,142.33523475,15362141.0,244.57,40565606.0,100.8203125,2.158,99.8828125,2.75575,124.69,11578265.0,137.46,16333269.0,11.32
2017-08-29,142.89494075,24498333.0,244.85,51135715.0,101.0859375,2.12835,100.2265625,2.7388,124.42,9861471.0,137.49,20277565.0,11.7
2017-08-30,144.57405875,33642716.0,246.01,62030805.0,101.0234375,2.1353,100.2109375,2.7396,124.36,6328422.0,138.37,15915526.0,11.22
2017-08-31,146.123245,38480747.0,247.49,103803880.0,101.1640625,2.1196,100.4765625,2.7266,125.82,11775530.0,139.73,29260570.0,10.59
2017-09-01,145.92335,22293553.0,247.84,62006989.0,100.7578125,2.1648,99.5078125,2.77425,126.06,11567404.0,140.52,17412507.0,10.13
2017-09-05,144.61403775,45480562.0,246.06,91398777.0,101.6796875,2.06215,101.421875,2.68055,127.46,11813065.0,139.17,21908373.0,12.23
2017-09-06,145.05380675,30722723.0,246.9,57916867.0,101.2890625,2.1055,100.5390625,2.7235,126.81,10059273.0,139.46,18399672.0,11.63
2017-09-07,145.39362825,22721131.0,246.87,58034730.0,101.8671875,2.04135,101.828125,2.66095,128.13,10219719.0,139.11,18159823.0,11.55
2017-09-08,144.13428975,27890115.0,246.58,63832825.0,101.7578125,2.05325,101.6328125,2.67035,127.97,9020001.0,139.22,21870454.0,12.12
2017-09-11,145.79341825,27126332.0,249.21,71364848.0,101.0390625,2.13315,100.0546875,2.74725,126.19,9126591.0,140.68,22617670.0,10.73
2017-09-12,146.1432345,30256661.0,250.05,56896027.0,100.7421875,2.16635,99.5703125,2.77115,126.56,8349012.0,141.54,22679587.0,10.58
2017-09-13,146.3431295,28450864.0,250.17,59228002.0,100.5078125,2.19265,99.1953125,2.7898,125.61,8490963.0,141.96,25052476.0,10.5
2017-09-14,145.483581,35296413.0,250.09,95446349.0,100.5703125,2.1856,99.6484375,2.7673,126.16,5330663.0,141.83,18353801.0,10.44
2017-09-15,145.9833185,46422402.0,249.19,95432382.0,100.4296875,2.2014,99.6171875,2.7688,125.53,8375074.0,142.41,23184039.0,10.17
2017-09-18,145.47358625,24858157.0,249.72,46235238.0,100.1484375,2.2331,98.9296875,2.803,124.36,8859807.0,143.38,24427354.0,10.15
2017-09-19,145.723455,20871237.0,249.97,47108148.0,100.0390625,2.24545,98.6953125,2.81475,124.62,5826537.0,143.38,16346316.0,10.18
2017-09-20,145.27369125,34236155.0,250.06,59574083.0,99.8046875,2.272,98.7734375,2.8108,123.62,11415431.0,143.84,20244658.0,9.78
2017-09-21,144.3841585,28841835.0,249.39,48211398.0,99.7578125,2.27735,98.8984375,2.8046,122.68,7757897.0,143.69,17395878.0,9.67
2017-09-22,144.244232,21702401.0,249.44,51214032.0,99.9765625,2.2525,99.3125,2.78395,123.24,6011928.0,144.3,25203026.0,9.59
2017-09-25,142.72503,54947712.0,248.93,57064357.0,100.2578125,2.2207,99.78125,2.7607,124.53,10257209.0,144.5,30012818.0,10.21
2017-09-26,143.09483575,29628806.0,249.08,54081959.0,100.1328125,2.2348,99.5234375,2.7735,123.14,8673582.0,144.61,28238135.0,10.17
2017-09-27,144.3841585,33249403.0,250.05,81001426.0,99.4765625,2.3094,97.7421875,2.86285,121.98,6903944.0,147.44,66351679.0,9.87
2017-09-28,144.33418475,24149422.0,250.35,44778841.0,99.4921875,2.30765,97.640625,2.868,122.21,5968213.0,147.83,29291396.0,9.55
2017-09-29,145.37363875,43102366.0,251.23,85578002.0,99.2265625,2.3381,97.6953125,2.8653,121.58,10207991.0,148.18,21738748.0,9.51
2017-10-02,145.5035705,27351260.0,252.32,59022985.0,99.2109375,2.3399,97.59375,2.8704,120.77,11755378.0,150.0,29772446.0,9.45
2017-10-03,145.81340775,19715152.0,252.86,66810169.0,99.3515625,2.3238,97.7421875,2.8629,120.83,3728655.0,150.33,28372757.0,9.51
2017-10-04,145.95333425,26381099.0,253.16,55953619.0,99.3671875,2.322,97.7109375,2.8645,121.17,6475238.0,149.85,22024675.0,9.63
2017-10-05,147.3825835,31562353.0,254.66,63522757.0,99.1484375,2.3471,97.2578125,2.8876,120.52,6205423.0,150.26,22538502.0,9.19
2017-10-06,147.5824785,23561069.0,254.37,80645998.0,99.0390625,2.3598,97.1015625,2.8956,121.09,10013282.0,150.05,19350771.0,9.65
2017-10-10,147.52251,19223092.0,254.62,43057363.0,99.0859375,2.3544,97.2578125,2.8876,122.4,9315476.0,149.86,21951851.0,10.08
2017-10-11,147.962279,12439051.0,255.02,47674325.0,99.1015625,2.3526,97.296875,2.8856,122.79,5649430.0,149.75,15137112.0,9.85
2017-10-12,147.69242075,14513477.0,254.64,47065144.0,99.3828125,2.3204,97.9921875,2.85025,122.89,3037576.0,149.64,17185574.0,9.91
2017-10-13,148.2621215,18409888.0,254.95,54800435.0,99.7890625,2.2739,98.8828125,2.8054,123.82,6820348.0,149.37,15464432.0,9.61
2017-10-16,148.77185375,21809410.0,255.29,38221675.0,99.5234375,2.3043,98.5703125,2.8211,122.97,8201979.0,149.24,20653103.0,9.91
2017-10-17,148.961754,13138157.0,255.47,31560964.0,99.5546875,2.3007,98.9296875,2.8031,122.13,7041261.0,148.81,18046820.0,10.31
2017-10-18,148.7818485,17218243.0,255.72,40888330.0,99.1796875,2.3438,97.9921875,2.8503,121.67,3666407.0,149.52,20541658.0,10.07
2017-10-19,148.23213725,27680285.0,255.79,61903788.0,99.4140625,2.3169,98.2578125,2.8369,122.39,5567279.0,149.29,17164885.0,10.05
